state,Location,Lat,Long,Intersting 
AL,Luverne,31.70739,-86.256601,16
AL,Marbury,32.639373,-86.510138,18
AL,Mathews,32.128288,-86.041262,16
AL,Midway,32.09552,-85.531523,2
AL,Millbrook,32.499485,-86.364125,20
AL,Perote,32.003459,-85.74773,10
AL,Pike Road,32.335705,-86.09589,30
AL,Prattville,32.478695,-86.42997,18
AL,Prattville,32.471501,-86.483072,26
AL,Ramer,32.067745,-86.246329,4
AL,Rutledge,31.755867,-86.348464,27
AL,Shorter,32.383585,-85.91616,29
AL,Tallassee,32.550997,-85.89781,26
AL,Titus,32.690019,-86.239334,25
AL,Troy,31.794471,-85.965493,9
AL,Tuskegee,32.431623,-85.68606,27
AL,Tuskegee Institu,32.417699,-85.714848,24
AL,Union Springs,32.166252,-85.678746,23
AL,Verbena,32.759565,-86.543753,11
AL,Wetumpka,32.54509,-86.188039,9
AL,Montgomery,32.373037,-86.308129,11
AL,Montgomery,32.32573,-86.310449,18
AL,Montgomery,32.354268,-86.267278,15
AL,Montgomery,32.380405,-86.279885,24
AL,Montgomery,32.341682,-86.352904,2
AL,Montgomery,32.383443,-86.243394,16
AL,Montgomery,32.421686,-86.274997,6
AL,Montgomery,32.337363,-86.271543,26
AL,Maxwell A F B,32.388133,-86.355848,24
AL,Gunter Afs,32.406814,-86.247327,28
AL,Montgomery,32.312943,-86.242056,13
AL,Montgomery,32.373568,-86.183299,8
AL,Anniston,33.653896,-85.838152,10
AL,Oxford,33.596829,-85.83347,14
AL,Fort Mc Clellan,33.710168,-85.801467,17
AL,Anniston,33.719124,-85.838904,8
AL,Alexandria,33.780785,-85.892447,24
AL,Ashland,33.247363,-85.828976,10
AL,Cragford,33.217148,-85.710797,14
AL,Daviston,33.033471,-85.753831,19
AL,Delta,33.457303,-85.679279,19
AL,Eastaboga,33.603132,-85.96075,9
AL,Fruithurst,33.771732,-85.43814,16
AL,Graham,33.462976,-85.334034,13
AL,Heflin,33.611515,-85.588471,13
AL,Jacksonville,33.830966,-85.77518,3
AL,Lineville,33.328613,-85.734609,30
AL,Millerville,33.158959,-85.969001,22
AL,Munford,33.540987,-85.936322,11
AL,Muscadine,33.752913,-85.378907,10
AL,Newell,33.440172,-85.505925,10
AL,Ohatchee,33.778779,-86.025357,3
AL,Piedmont,33.838946,-85.645997,10
AL,Ranburne,33.561627,-85.378604,25
AL,Rock Mills,33.156443,-85.357854,25
AL,Wadley,33.149192,-85.551344,2
AL,Weaver,33.756286,-85.810666,6
AL,Wedowee,33.301854,-85.473737,26
AL,Wellington,33.863843,-85.915325,2
AL,Woodland,33.355453,-85.353768,21
AL,Taylor,31.202888,-85.418036,7
AL,Napier Field,31.255239,-85.412462,27
AL,Abbeville,31.575479,-85.279044,29
AL,Ariton,31.582996,-85.707716,25
AL,Ashford,31.1888,-85.253488,21
AL,Black,31.01318,-85.745634,5
AL,Chancellor,31.173379,-85.910897,28
AL,Clopton,31.602843,-85.482308,14
AL,Coffee Springs,31.138758,-85.918224,26
AL,Columbia,31.335235,-85.145488,27
AL,Cottonwood,31.098934,-85.375665,7
AL,Daleville,31.281091,-85.730473,12
AL,Elba,31.41373,-86.077728,8
AL,Enterprise,31.340789,-85.842111,23
AL,Geneva,31.041445,-85.884748,14
AL,Gordon,31.10019,-85.123412,30
AL,Hartford,31.08598,-85.719204,12
AL,Headland,31.353406,-85.332277,23
AL,Jack,31.552392,-86.043083,18
AL,Malvern,31.157528,-85.522327,12
AL,Midland City,31.36716,-85.513033,16
AL,New Brockton,31.36898,-85.940386,14
AL,Newton,31.331064,-85.599229,17
AL,Newville,31.440295,-85.328741,8
AL,Ozark,31.439069,-85.643629,19
AL,Fort Rucker,31.348011,-85.721374,17
AL,Pansey,31.131778,-85.238549,10
AL,Shorterville,31.625627,-85.14584,1
AL,Skipperville,31.551588,-85.549578,4
AL,Slocomb,31.095558,-85.582954,27
AL,Webb,31.265618,-85.254385,26
AL,Evergreen,31.458009,-86.925771,14
AL,Allen,31.624266,-87.66746,11
AL,Andalusia,31.297142,-86.490468,4
AL,Beatrice,31.727324,-87.171912,10
AL,East Brewton,31.118926,-87.067325,20
AL,Castleberry,31.326113,-87.026754,28
AL,Coy,31.888851,-87.392558,22
AL,Dickinson,31.717167,-87.656929,18
AL,Flomaton,31.040233,-87.266365,7
AL,Florala,31.017194,-86.338528,23
AL,Franklin,31.723815,-87.441237,4
AL,Frisco City,31.423478,-87.381744,15
AL,Fulton,31.790947,-87.708065,18
AL,Grove Hill,31.675502,-87.763571,10
AL,Kinston,31.262118,-86.069532,18
AL,Lenox,31.327261,-87.19671,13
AL,Mc Kenzie,31.54495,-86.735615,20
AL,Monroeville,31.51533,-87.340993,30
AL,Opp,31.279861,-86.257105,7
AL,Peterman,31.589953,-87.259984,13
AL,Range,31.30169,-87.319739,17
AL,Red Level,31.439931,-86.61209,4
AL,Repton,31.425569,-87.172039,15
AL,Samson,31.104918,-86.067416,30
AL,Uriah,31.313467,-87.570518,16
AL,Vredenburgh,31.73443,-87.416184,1
AL,Whatley,31.639453,-87.656502,21
AL,Wing,31.148127,-86.56119,27
AL,Atmore,31.057245,-87.487347,21
AL,Axis,31.006817,-88.04274,29
AL,Bay Minette,30.86354,-87.76444,29
AL,Bayou La Batre,30.407983,-88.250697,7
AL,Bigbee,31.589072,-88.165294,13
AL,Bon Secour,30.328883,-87.721355,2
AL,Carlton,31.322449,-87.837793,19
AL,Chatom,31.487638,-88.269887,7
AL,Chunchula,30.991178,-88.131126,8
AL,Citronelle,31.042533,-88.254949,1
AL,Coden,30.418834,-88.168276,27
AL,Coffeeville,31.78428,-88.071542,30
AL,Creola,30.901267,-88.017414,4
AL,Daphne,30.61972,-87.889522,10
AL,Spanish Fort,30.695852,-87.88668,22
AL,Dauphin Island,30.252057,-88.109644,21
AL,Deer Park,31.184892,-88.32731,29
AL,Elberta,30.394239,-87.58896,19
AL,Fairhope,30.50116,-87.883546,1
AL,Foley,30.400664,-87.685737,28
AL,Frankville,31.64684,-88.133185,27
AL,Fruitdale,31.348843,-88.376597,28
AL,Gainestown,31.425822,-87.682176,27
AL,Grand Bay,30.498288,-88.32825,5
AL,Fort Morgan,30.268954,-87.712795,19
AL,Irvington,30.480241,-88.239563,20
AL,Jackson,31.513098,-87.867192,29
AL,Leroy,31.491021,-87.968672,19
AL,Lillian,30.39724,-87.474452,6
AL,Little River,31.22459,-87.754796,9
AL,Loxley,30.617964,-87.75624,11
AL,Mc Intosh,31.236108,-88.051102,3
AL,Magnolia Springs,30.394497,-87.785781,18
AL,Millry,31.626871,-88.355872,9
AL,Mount Vernon,31.097375,-88.035044,17
AL,Orange Beach,30.290596,-87.555888,28
AL,Perdido,30.98058,-87.628374,11
AL,Robertsdale,30.561608,-87.637268,29
AL,Saint Stephens,31.533028,-88.052094,12
AL,Salitpa,31.654667,-87.959618,1
AL,Saraland,30.833197,-88.093387,17
AL,Satsuma,30.851628,-88.053312,27
AL,Seminole,30.504806,-87.465938,3
AL,Semmes,30.754408,-88.266705,10
AL,Silverhill,30.522237,-87.745676,2
AL,Stockton,31.01293,-87.863323,2
AL,Summerdale,30.475225,-87.699183,30
AL,Theodore,30.544374,-88.180748,30
AL,Tibbie,31.373742,-88.266828,12
AL,Vinegar Bend,31.25841,-88.386466,8
AL,Wagarville,31.410205,-88.070519,19
AL,Walker Springs,31.626166,-87.835355,22
AL,Wilmer,30.813745,-88.333196,18
AL,Mobile,30.688828,-88.045308,13
AL,Mobile,30.692141,-88.05622,21
AL,Mobile,30.681963,-88.067804,4
AL,Mobile,30.634117,-88.084646,19
AL,Mobile,30.672899,-88.100909,23
AL,Mobile,30.697486,-88.1029,11
AL,Mobile,30.69636,-88.187784,4
AL,Mobile,30.660527,-88.161806,8
AL,Prichard,30.737846,-88.083761,13
